kit,flow_cell_id,experiment_id,barcode,alias
SQK-LSK109 EXP-NBD196,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode73,run007_barcode73
SQK-LSK109 EXP-NBD196,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode74,run007_barcode74
SQK-LSK109 EXP-NBD196,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode75,run007_barcode75
SQK-LSK109 EXP-NBD196,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode76,run007_barcode76
SQK-LSK109 EXP-NBD196,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode77,run007_barcode77
SQK-LSK109 EXP-NBD196,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode50,run007_barcode50
SQK-LSK109 EXP-NBD196,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode21,run007_barcode21
SQK-LSK109 EXP-NBD196,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode51,run007_barcode51
SQK-LSK109 EXP-NBD196,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode58,run007_barcode58
SQK-LSK109 EXP-NBD196,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode31,run007_barcode31
SQK-LSK109 EXP-NBD196,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode20,run007_barcode20
SQK-LSK109 EXP-NBD196,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode43,run007_barcode43
SQK-LSK109 EXP-NBD196,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode48,run007_barcode48
SQK-LSK109 EXP-NBD196,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode35,run007_barcode35
SQK-LSK109 EXP-NBD196,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode55,run007_barcode55
SQK-LSK109 EXP-NBD196,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode59,run007_barcode59
SQK-LSK109 EXP-NBD196,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode65,run007_barcode65
SQK-LSK109 EXP-NBD196,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode63,run007_barcode63
SQK-LSK109 EXP-NBD196,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode46,run007_barcode46
SQK-LSK109 EXP-NBD196,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode42,run007_barcode42
SQK-LSK109 EXP-NBD196,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode18,run007_barcode18
SQK-LSK109 EXP-NBD196,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode34,run007_barcode34
