kit,flow_cell_id,experiment_id,barcode,alias
SQK-LSK109,FAW86931,run011_20230921_FGF14_FAME_NAA10,barcode89,FGF14_98072
SQK-LSK109,FAW86931,run011_20230921_FGF14_FAME_NAA10,barcode90,FGF14_98343
SQK-LSK109,FAW86931,run011_20230921_FGF14_FAME_NAA10,barcode91,FAME3_98428 
SQK-LSK109,FAW86931,run011_20230921_FGF14_FAME_NAA10,barcode92,NAA10_1_93785_lower
SQK-LSK109,FAW86931,run011_20230921_FGF14_FAME_NAA10,barcode93,NAA10_1_75021_upper
SQK-LSK109,FAW86931,run011_20230921_FGF14_FAME_NAA10,barcode94,NAA10_1_75021_lower
SQK-LSK109,FAW86931,run011_20230921_FGF14_FAME_NAA10,barcode95,NAA10_2_93785_lower
SQK-LSK109,FAW86931,run011_20230921_FGF14_FAME_NAA10,barcode96,NAA10_2_75021_upper
SQK-LSK109,FAW86931,run011_20230921_FGF14_FAME_NAA10,barcode1,NAA10_2_75021_lower
