kit,flow_cell_id,experiment_id,barcode,alias
SQK-LSK109 EXP-NBD196,FAX76094,run014_20240515_FGF14_MARCH6_NAA_DAB_AFF,barcode25,run014_barcode25
SQK-LSK109 EXP-NBD196,FAX76094,run014_20240515_FGF14_MARCH6_NAA_DAB_AFF,barcode26,run014_barcode26
SQK-LSK109 EXP-NBD196,FAX76094,run014_20240515_FGF14_MARCH6_NAA_DAB_AFF,barcode27,run014_barcode27
SQK-LSK109 EXP-NBD196,FAX76094,run014_20240515_FGF14_MARCH6_NAA_DAB_AFF,barcode28,run014_barcode28
SQK-LSK109 EXP-NBD196,FAX76094,run014_20240515_FGF14_MARCH6_NAA_DAB_AFF,barcode29,run014_barcode29
SQK-LSK109 EXP-NBD196,FAX76094,run014_20240515_FGF14_MARCH6_NAA_DAB_AFF,barcode30,run014_barcode30
SQK-LSK109 EXP-NBD196,FAX76094,run014_20240515_FGF14_MARCH6_NAA_DAB_AFF,barcode31,run014_barcode31
SQK-LSK109 EXP-NBD196,FAX76094,run014_20240515_FGF14_MARCH6_NAA_DAB_AFF,barcode32,run014_barcode32
SQK-LSK109 EXP-NBD196,FAX76094,run014_20240515_FGF14_MARCH6_NAA_DAB_AFF,barcode33,run014_barcode33
SQK-LSK109 EXP-NBD196,FAX76094,run014_20240515_FGF14_MARCH6_NAA_DAB_AFF,barcode34,run014_barcode34
SQK-LSK109 EXP-NBD196,FAX76094,run014_20240515_FGF14_MARCH6_NAA_DAB_AFF,barcode35,run014_barcode35
SQK-LSK109 EXP-NBD196,FAX76094,run014_20240515_FGF14_MARCH6_NAA_DAB_AFF,barcode36,run014_barcode36
SQK-LSK109 EXP-NBD196,FAX76094,run014_20240515_FGF14_MARCH6_NAA_DAB_AFF,barcode37,run014_barcode37
SQK-LSK109 EXP-NBD196,FAX76094,run014_20240515_FGF14_MARCH6_NAA_DAB_AFF,barcode38,run014_barcode38
SQK-LSK109 EXP-NBD196,FAX76094,run014_20240515_FGF14_MARCH6_NAA_DAB_AFF,barcode39,run014_barcode39
SQK-LSK109 EXP-NBD196,FAX76094,run014_20240515_FGF14_MARCH6_NAA_DAB_AFF,barcode40,run014_barcode40
SQK-LSK109 EXP-NBD196,FAX76094,run014_20240515_FGF14_MARCH6_NAA_DAB_AFF,barcode09,run014_barcode09
SQK-LSK109 EXP-NBD196,FAX76094,run014_20240515_FGF14_MARCH6_NAA_DAB_AFF,barcode10,run014_barcode10
SQK-LSK109 EXP-NBD196,FAX76094,run014_20240515_FGF14_MARCH6_NAA_DAB_AFF,barcode11,run014_barcode11
