Run	ID	Sample	Reads	Bases
9	FGF14_997817	FGF14_997817		
9	FGF14_993649	FGF14_993649		
9	FGF14_992073	FGF14_992073		
9	FGF14_995731	FGF14_995731		
9	FGF14_995498	FGF14_995498		
9	FGF14_996722	FGF14_996722		
9	FGF14_998552	FGF14_998552		
9	FGF14_998295	FGF14_998295		
9	FGF14_998535	FGF14_998535		
9	FGF14_999161	FGF14_999161		
9	FGF14_993690	FGF14_993690		
9	FGF14_992356	FGF14_992356		
9	FGF14_996956	FGF14_996956		
9	FGF14_999007	FGF14_999007		
9	FGF14_998201	FGF14_998201		
9	FGF14_993150	FGF14_993150		
9	FGF14_996612	FGF14_996612		
9	FGF14_998894	FGF14_998894		
9	FGF14_998557	FGF14_998557		
9	FGF14_997022	FGF14_997022		
9	FGF14_990789	FGF14_990789		
9	FGF14_994991	FGF14_994991		
9	FGF14_998125	FGF14_998125		
9	FGF14_999197	FGF14_999197		
9	FGF14_998326	FGF14_998326		
9	FGF14_993743	FGF14_993743		
9	FGF14_992102	FGF14_992102		
9	FGF14_996151	FGF14_996151		
9	FGF14_996698	FGF14_996698		
9	FGF14_994434	FGF14_994434		
9	FGF14_991699	FGF14_991699		
9	FGF14_995602	FGF14_995602		
9	FGF14_990808	FGF14_990808		
9	FGF14_994994	FGF14_994994		
9	FGF14_994109	FGF14_994109		
9	FGF14_992745	FGF14_992745		
9	FGF14_991234	FGF14_991234		
9	FGF14_990099	FGF14_990099		
9	FGF14_992712	FGF14_992712		
9	FGF14_990418	FGF14_990418		
9	FGF14_992749	FGF14_992749		
9	FGF14_991423	FGF14_991423		
9	FGF14_990667	FGF14_990667		
9	FGF14_990658	FGF14_990658		
9	FGF14_992974	FGF14_992974		
9	FGF14_996889	FGF14_996889		
9	FGF14_998780	FGF14_998780		
9	FGF14_991887	FGF14_991887		
9	FGF14_991065	FGF14_991065		
9	FGF14_990843	FGF14_990843		
9	FGF14_991437	FGF14_991437		
9	FGF14_990832	FGF14_990832		
9	FGF14_97787	FGF14_97787		
9	FGF14_97791	FGF14_97791		
9	FGF14_97799	FGF14_97799		
9	FGF14_97800	FGF14_97800		
9	FGF14_91440	FGF14_91440		
9	FGF14_91439	FGF14_91439		
9	FGF14_92794	FGF14_92794		
9	FGF14_83637	FGF14_83637		
9	FGF14_97638	FGF14_97638		
9	FGF14_97038	FGF14_97038		
9	FGF14_97526	FGF14_97526		
9	FGF14_80330	FGF14_80330		
9	FGF14_81356	FGF14_81356		
9	FGF14_89829	FGF14_89829		
9	FGF14_88619	FGF14_88619		
9	FGF14_45631	FGF14_45631		
9	FGF14_91410	FGF14_91410		
9	FGF14_91412	FGF14_91412		
9	FGF14_91413	FGF14_91413		
9	FGF14_98270	FGF14_98270		
10	FGF14_98072	FGF14_98072		
10	FGF14_98343	FGF14_98343		
11	FGF14_98072	FGF14_98072		
11	FGF14_98343	FGF14_98343		
12	FGF14_97062	FGF14_97062		
12	FGF14_87909	FGF14_87909		
12	FGF14_98902	FGF14_98902		
12	FGF14_96397	FGF14_96397		
12	FGF14_96714	FGF14_96714		
12	FGF14_96642	FGF14_96642		
12	FGF14_96642_run7	FGF14_96642		
