kit,flow_cell_id,experiment_id,barcode,alias
SQK-LSK109 EXP-NBD196,FAW44825,Run005_20230321_FAME3_NAA10_Ilaria,barcode01,run005_barcode01
SQK-LSK109 EXP-NBD196,FAW44825,Run005_20230321_FAME3_NAA10_Ilaria,barcode02,run005_barcode02
SQK-LSK109 EXP-NBD196,FAW44825,Run005_20230321_FAME3_NAA10_Ilaria,barcode03,run005_barcode03
SQK-LSK109 EXP-NBD196,FAW44825,Run005_20230321_FAME3_NAA10_Ilaria,barcode04,run005_barcode04
SQK-LSK109 EXP-NBD196,FAW44825,Run005_20230321_FAME3_NAA10_Ilaria,barcode05,run005_barcode05
SQK-LSK109 EXP-NBD196,FAW44825,Run005_20230321_FAME3_NAA10_Ilaria,barcode06,run005_barcode06
SQK-LSK109 EXP-NBD196,FAW44825,Run005_20230321_FAME3_NAA10_Ilaria,barcode07,run005_barcode07
SQK-LSK109 EXP-NBD196,FAW44825,Run005_20230321_FAME3_NAA10_Ilaria,barcode08,run005_barcode08
SQK-LSK109 EXP-NBD196,FAW44825,Run005_20230321_FAME3_NAA10_Ilaria,barcode09,run005_barcode09
SQK-LSK109 EXP-NBD196,FAW44825,Run005_20230321_FAME3_NAA10_Ilaria,barcode11,run005_barcode11
SQK-LSK109 EXP-NBD196,FAW44825,Run005_20230321_FAME3_NAA10_Ilaria,barcode12,run005_barcode12
SQK-LSK109 EXP-NBD196,FAW44825,Run005_20230321_FAME3_NAA10_Ilaria,barcode13,run005_barcode13
SQK-LSK109 EXP-NBD196,FAW44825,Run005_20230321_FAME3_NAA10_Ilaria,barcode15,run005_barcode15
SQK-LSK109 EXP-NBD196,FAW44825,Run005_20230321_FAME3_NAA10_Ilaria,barcode16,run005_barcode16
SQK-LSK109 EXP-NBD196,FAW44825,Run005_20230321_FAME3_NAA10_Ilaria,barcode33,run005_barcode33
SQK-LSK109 EXP-NBD196,FAW44825,Run005_20230321_FAME3_NAA10_Ilaria,barcode34,run005_barcode34
