kit,flow_cell_id,experiment_id,barcode,alias
SQK-LSK109 EXP-NBD196,FAY01820,run015_20241203_FGF14_RFC1_MARCHF6,barcode81,run015_barcode81
SQK-LSK109 EXP-NBD196,FAY01820,run015_20241203_FGF14_RFC1_MARCHF6,barcode82,run015_barcode82
SQK-LSK109 EXP-NBD196,FAY01820,run015_20241203_FGF14_RFC1_MARCHF6,barcode83,run015_barcode83
SQK-LSK109 EXP-NBD196,FAY01820,run015_20241203_FGF14_RFC1_MARCHF6,barcode84,run015_barcode84
SQK-LSK109 EXP-NBD196,FAY01820,run015_20241203_FGF14_RFC1_MARCHF6,barcode85,run015_barcode85
SQK-LSK109 EXP-NBD196,FAY01820,run015_20241203_FGF14_RFC1_MARCHF6,barcode86,run015_barcode86
SQK-LSK109 EXP-NBD196,FAY01820,run015_20241203_FGF14_RFC1_MARCHF6,barcode87,run015_barcode87
SQK-LSK109 EXP-NBD196,FAY01820,run015_20241203_FGF14_RFC1_MARCHF6,barcode88,run015_barcode88
SQK-LSK109 EXP-NBD196,FAY01820,run015_20241203_FGF14_RFC1_MARCHF6,barcode89,run015_barcode89
SQK-LSK109 EXP-NBD196,FAY01820,run015_20241203_FGF14_RFC1_MARCHF6,barcode90,run015_barcode90
SQK-LSK109 EXP-NBD196,FAY01820,run015_20241203_FGF14_RFC1_MARCHF6,barcode91,run015_barcode91
SQK-LSK109 EXP-NBD196,FAY01820,run015_20241203_FGF14_RFC1_MARCHF6,barcode92,run015_barcode92
SQK-LSK109 EXP-NBD196,FAY01820,run015_20241203_FGF14_RFC1_MARCHF6,barcode93,run015_barcode93
SQK-LSK109 EXP-NBD196,FAY01820,run015_20241203_FGF14_RFC1_MARCHF6,barcode94,run015_barcode94
SQK-LSK109 EXP-NBD196,FAY01820,run015_20241203_FGF14_RFC1_MARCHF6,barcode95,run015_barcode95
SQK-LSK109 EXP-NBD196,FAY01820,run015_20241203_FGF14_RFC1_MARCHF6,barcode96,run015_barcode96
SQK-LSK109 EXP-NBD196,FAY01820,run015_20241203_FGF14_RFC1_MARCHF6,barcode01,run015_barcode01
SQK-LSK109 EXP-NBD196,FAY01820,run015_20241203_FGF14_RFC1_MARCHF6,barcode02,run015_barcode02
SQK-LSK109 EXP-NBD196,FAY01820,run015_20241203_FGF14_RFC1_MARCHF6,barcode03,run015_barcode03
SQK-LSK109 EXP-NBD196,FAY01820,run015_20241203_FGF14_RFC1_MARCHF6,barcode04,run015_barcode04
SQK-LSK109 EXP-NBD196,FAY01820,run015_20241203_FGF14_RFC1_MARCHF6,barcode05,run015_barcode05
SQK-LSK109 EXP-NBD196,FAY01820,run015_20241203_FGF14_RFC1_MARCHF6,barcode09,run015_barcode09
SQK-LSK109 EXP-NBD196,FAY01820,run015_20241203_FGF14_RFC1_MARCHF6,barcode10,run015_barcode10
SQK-LSK109 EXP-NBD196,FAY01820,run015_20241203_FGF14_RFC1_MARCHF6,barcode11,run015_barcode11
SQK-LSK109 EXP-NBD196,FAY01820,run015_20241203_FGF14_RFC1_MARCHF6,barcode12,run015_barcode12
SQK-LSK109 EXP-NBD196,FAY01820,run015_20241203_FGF14_RFC1_MARCHF6,barcode13,run015_barcode13
SQK-LSK109 EXP-NBD196,FAY01820,run015_20241203_FGF14_RFC1_MARCHF6,barcode14,run015_barcode14
SQK-LSK109 EXP-NBD196,FAY01820,run015_20241203_FGF14_RFC1_MARCHF6,barcode15,run015_barcode15
SQK-LSK109 EXP-NBD196,FAY01820,run015_20241203_FGF14_RFC1_MARCHF6,barcode16,run015_barcode16
