kit,flow_cell_id,experiment_id,barcode,alias
SQK-LSK114 SQK-NBD114-96,FAZ40399,run16_20251010_MARCHF6_FGF14_RNU2s,barcode01,run016_barcode01_FGF14_M104137
SQK-LSK114 SQK-NBD114-96,FAZ40399,run16_20251010_MARCHF6_FGF14_RNU2s,barcode02,run016_barcode02_FGF14_M103127
SQK-LSK114 SQK-NBD114-96,FAZ40399,run16_20251010_MARCHF6_FGF14_RNU2s,barcode03,run016_barcode03_MARCHF6_M109318
SQK-LSK114 SQK-NBD114-96,FAZ40399,run16_20251010_MARCHF6_FGF14_RNU2s,barcode04,run016_barcode04_FGF14_M98635
SQK-LSK114 SQK-NBD114-96,FAZ40399,run16_20251010_MARCHF6_FGF14_RNU2s,barcode05,run016_barcode05_FGF14_M108811
SQK-LSK114 SQK-NBD114-96,FAZ40399,run16_20251010_MARCHF6_FGF14_RNU2s,barcode06,run016_barcode06_FGF14_M108812
SQK-LSK114 SQK-NBD114-96,FAZ40399,run16_20251010_MARCHF6_FGF14_RNU2s,barcode07,run016_barcode07_FGF14_M108813
SQK-LSK114 SQK-NBD114-96,FAZ40399,run16_20251010_MARCHF6_FGF14_RNU2s,barcode08,run016_barcode08_FGF14_M108814
SQK-LSK114 SQK-NBD114-96,FAZ40399,run16_20251010_MARCHF6_FGF14_RNU2s,barcode09,run016_barcode09_FGF14_M108815
SQK-LSK114 SQK-NBD114-96,FAZ40399,run16_20251010_MARCHF6_FGF14_RNU2s,barcode10,run016_barcode10_FGF14_M108816
SQK-LSK114 SQK-NBD114-96,FAZ40399,run16_20251010_MARCHF6_FGF14_RNU2s,barcode11,run016_barcode11_FGF14_M108817
SQK-LSK114 SQK-NBD114-96,FAZ40399,run16_20251010_MARCHF6_FGF14_RNU2s,barcode12,run016_barcode12_FGF14_M108818
SQK-LSK114 SQK-NBD114-96,FAZ40399,run16_20251010_MARCHF6_FGF14_RNU2s,barcode13,run016_barcode13_FGF14_M108523
SQK-LSK114 SQK-NBD114-96,FAZ40399,run16_20251010_MARCHF6_FGF14_RNU2s,barcode14,run016_barcode14_FGF14_M108522
SQK-LSK114 SQK-NBD114-96,FAZ40399,run16_20251010_MARCHF6_FGF14_RNU2s,barcode15,run016_barcode15_FGF14_M104253
SQK-LSK114 SQK-NBD114-96,FAZ40399,run16_20251010_MARCHF6_FGF14_RNU2s,barcode16,run016_barcode16_FGF14_M104254
SQK-LSK114 SQK-NBD114-96,FAZ40399,run16_20251010_MARCHF6_FGF14_RNU2s,barcode17,run016_barcode17_FGF14_M97451
SQK-LSK114 SQK-NBD114-96,FAZ40399,run16_20251010_MARCHF6_FGF14_RNU2s,barcode18,run016_barcode18_FGF14_M105168
SQK-LSK114 SQK-NBD114-96,FAZ40399,run16_20251010_MARCHF6_FGF14_RNU2s,barcode19,run016_barcode19_FGF14_M98129
