kit,flow_cell_id,experiment_id,barcode,alias
SQK-LSK109 EXP-NBD196,FAR54812,001_20220412_FAME3,barcode01,run001_barcode01
SQK-LSK109 EXP-NBD196,FAR54812,001_20220412_FAME3,barcode02,run001_barcode02
SQK-LSK109 EXP-NBD196,FAR54812,001_20220412_FAME3,barcode03,run001_barcode03
SQK-LSK109 EXP-NBD196,FAR54812,001_20220412_FAME3,barcode04,run001_barcode04
SQK-LSK109 EXP-NBD196,FAR54812,001_20220412_FAME3,barcode05,run001_barcode05
SQK-LSK109 EXP-NBD196,FAR54812,001_20220412_FAME3,barcode06,run001_barcode06
SQK-LSK109 EXP-NBD196,FAR54812,001_20220412_FAME3,barcode07,run001_barcode07
SQK-LSK109 EXP-NBD196,FAR54812,001_20220412_FAME3,barcode08,run001_barcode08
SQK-LSK109 EXP-NBD196,FAR54812,001_20220412_FAME3,barcode09,run001_barcode09
SQK-LSK109 EXP-NBD196,FAR54812,001_20220412_FAME3,barcode10,run001_barcode10
SQK-LSK109 EXP-NBD196,FAR54812,001_20220412_FAME3,barcode11,run001_barcode11
SQK-LSK109 EXP-NBD196,FAR54812,001_20220412_FAME3,barcode12,run001_barcode12
SQK-LSK109 EXP-NBD196,FAR54812,001_20220412_FAME3,barcode13,run001_barcode13
SQK-LSK109 EXP-NBD196,FAR54812,001_20220412_FAME3,barcode14,run001_barcode14
SQK-LSK109 EXP-NBD196,FAR54812,001_20220412_FAME3,barcode15,run001_barcode15
SQK-LSK109 EXP-NBD196,FAR54812,001_20220412_FAME3,barcode16,run001_barcode16
SQK-LSK109 EXP-NBD196,FAR54812,001_20220412_FAME3,barcode17,run001_barcode17
SQK-LSK109 EXP-NBD196,FAR54812,001_20220412_FAME3,barcode18,run001_barcode18
SQK-LSK109 EXP-NBD196,FAR54812,001_20220412_FAME3,barcode19,run001_barcode19
SQK-LSK109 EXP-NBD196,FAR54812,001_20220412_FAME3,barcode20,run001_barcode20
SQK-LSK109 EXP-NBD196,FAR54812,001_20220412_FAME3,barcode21,run001_barcode21
SQK-LSK109 EXP-NBD196,FAR54812,001_20220412_FAME3,barcode22,run001_barcode22
SQK-LSK109 EXP-NBD196,FAR54812,001_20220412_FAME3,barcode23,run001_barcode23
SQK-LSK109 EXP-NBD196,FAR54812,001_20220412_FAME3,barcode24,run001_barcode24
SQK-LSK109 EXP-NBD196,FAR54812,001_20220412_FAME3,barcode25,run001_barcode25
SQK-LSK109 EXP-NBD196,FAR54812,001_20220412_FAME3,barcode26,run001_barcode26
SQK-LSK109 EXP-NBD196,FAR54812,001_20220412_FAME3,barcode27,run001_barcode27
SQK-LSK109 EXP-NBD196,FAR54812,001_20220412_FAME3,barcode28,run001_barcode28
SQK-LSK109 EXP-NBD196,FAR54812,001_20220412_FAME3,barcode29,run001_barcode29
SQK-LSK109 EXP-NBD196,FAR54812,001_20220412_FAME3,barcode30,run001_barcode30
