kit,flow_cell_id,experiment_id,barcode,alias
SQK-LSK109 EXP-NBD196,FAY01820,run013_20240515_MARCHF6,barcode17,run013_barcode17
SQK-LSK109 EXP-NBD196,FAY01820,run013_20240515_MARCHF6,barcode18,run013_barcode18
SQK-LSK109 EXP-NBD196,FAY01820,run013_20240515_MARCHF6,barcode19,run013_barcode19
SQK-LSK109 EXP-NBD196,FAY01820,run013_20240515_MARCHF6,barcode20,run013_barcode20
SQK-LSK109 EXP-NBD196,FAY01820,run013_20240515_MARCHF6,barcode21,run013_barcode21
SQK-LSK109 EXP-NBD196,FAY01820,run013_20240515_MARCHF6,barcode22,run013_barcode22
SQK-LSK109 EXP-NBD196,FAY01820,run013_20240515_MARCHF6,barcode23,run013_barcode23
SQK-LSK109 EXP-NBD196,FAY01820,run013_20240515_MARCHF6,barcode24,run013_barcode24
