kit,flow_cell_id,experiment_id,barcode,alias
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode51,run004_barcode51
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode52,run004_barcode52
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode53,run004_barcode53
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode54,run004_barcode54
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode55,run004_barcode55
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode56,run004_barcode56
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode57,run004_barcode57
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode58,run004_barcode58
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode59,run004_barcode59
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode60,run004_barcode60
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode61,run004_barcode61
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode62,run004_barcode62
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode63,run004_barcode63
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode64,run004_barcode64
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode65,run004_barcode65
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode66,run004_barcode66
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode67,run004_barcode67
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode68,run004_barcode68
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode69,run004_barcode69
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode70,run004_barcode70
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode71,run004_barcode71
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode72,run004_barcode72
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode73,run004_barcode73
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode74,run004_barcode74
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode75,run004_barcode75
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode76,run004_barcode76
