kit,flow_cell_id,experiment_id,barcode,alias
SQK-LSK109 EXP-NBD196,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode01,run006_barcode01
SQK-LSK109 EXP-NBD196,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode02,run006_barcode02
SQK-LSK109 EXP-NBD196,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode03,run006_barcode03
SQK-LSK109 EXP-NBD196,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode04,run006_barcode04
SQK-LSK109 EXP-NBD196,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode05,run006_barcode05
SQK-LSK109 EXP-NBD196,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode06,run006_barcode06
SQK-LSK109 EXP-NBD196,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode07,run006_barcode07
SQK-LSK109 EXP-NBD196,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode08,run006_barcode08
SQK-LSK109 EXP-NBD196,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode09,run006_barcode09
SQK-LSK109 EXP-NBD196,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode11,run006_barcode11
SQK-LSK109 EXP-NBD196,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode12,run006_barcode12
SQK-LSK109 EXP-NBD196,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode13,run006_barcode13
SQK-LSK109 EXP-NBD196,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode15,run006_barcode15
SQK-LSK109 EXP-NBD196,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode16,run006_barcode16
SQK-LSK109 EXP-NBD196,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode33,run006_barcode33
SQK-LSK109 EXP-NBD196,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode34,run006_barcode34
SQK-LSK109 EXP-NBD196,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode35,run006_barcode35
SQK-LSK109 EXP-NBD196,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode36,run006_barcode36
SQK-LSK109 EXP-NBD196,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode37,run006_barcode37
SQK-LSK109 EXP-NBD196,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode38,run006_barcode38
SQK-LSK109 EXP-NBD196,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode39,run006_barcode39
SQK-LSK109 EXP-NBD196,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode40,run006_barcode40
SQK-LSK109 EXP-NBD196,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode41,run006_barcode41
SQK-LSK109 EXP-NBD196,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode42,run006_barcode42
SQK-LSK109 EXP-NBD196,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode43,run006_barcode43
SQK-LSK109 EXP-NBD196,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode44,run006_barcode44
SQK-LSK109 EXP-NBD196,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode45,run006_barcode45
SQK-LSK109 EXP-NBD196,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode46,run006_barcode46
SQK-LSK109 EXP-NBD196,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode47,run006_barcode47
SQK-LSK109 EXP-NBD196,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode48,run006_barcode48
SQK-LSK109 EXP-NBD196,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode49,run006_barcode49
SQK-LSK109 EXP-NBD196,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode50,run006_barcode50
